Tweet_ID;Tweet_Text;Aspek;Sentimen;Alasan
18;pln siap dukung visi presiden ri, prabowo subianto dalam capai swasembada energi dengan meningkatkan pemanfaatan energi terbarukan sebesar 75%;ENERGY_TECHNOLOGY;Positif;Dukungan terhadap target ambitious energi terbarukan dan swasembada energi
19;camp tambang emas illegal di geumpang, pidie di bakar dalam tindakan penutupan tambang illegal di aceh;GOVERNMENT_POLICY;Netral;Sama dengan tweet 14, mendukung penegakan hukum terhadap tambang ilegal
20;tim penerangan jalan umum (pju) dinas energi dan sumber daya mineral (esdm) provinsi kalimantan tengah melakukan perbaikan lampu pju;GOVERNMENT_POLICY;Netral;Laporan factual tentang aktivitas pemerintah daerah
21;mari babat hutan, tanam sawit. kata presiden, eh penguasaha. eh entahlah...;ENVIRONMENTAL_IMPACT;Negatif;Sarkasme dan kritik terhadap kebijakan deforestasi untuk sawit
22;sederet investasi konglomerat ramaikan transisi energi 2025;ENERGY_TECHNOLOGY;Positif;Optimisme terhadap partisipasi sektor swasta dalam transisi energi
23;15 isu transisi energi 2025: sentimen ev hingga kembalinya nuklir;ENERGY_TECHNOLOGY;Netral;Informational, menyajikan berbagai isu tanpa bias jelas
24;esdm: kepmen biodiesel b40 rampung pekan ini;GOVERNMENT_POLICY;Netral;Berita factual tentang progress kebijakan
25;jika hutan dibabat kemana orang hutan hewan liar lain tinggal pak? orang hutan tinggal di pohon yang tinggi bukan di kelapa sawit;ENVIRONMENTAL_IMPACT;Negatif;Keprihatinan terhadap dampak deforestasi pada habitat satwa
26;mitigasi bencana nya gimana gess ? bukan vegetasi hutan mangrove dan konservasi alam malah deforestasi sawit;ENVIRONMENTAL_IMPACT;Negatif;Kritik terhadap prioritas deforestasi sawit vs konservasi
27;gas bumi untuk rakyat gas bumi adalah solusi energi bersih yang terjangkau untuk rakyat indonesia;ENERGY_ACCESS;Positif;Konsisten dengan tweets serupa tentang manfaat gas bumi
28;ngeliat video deforestasi saja menurut gue sudah sama merindingnya pas gue ngeliat video pembunuhan/kecelakaan;ENVIRONMENTAL_IMPACT;Negatif;Emotional response yang sangat negatif terhadap deforestasi
29;keputusan menteri esdm nomor 348.k pemberian diskon 50% diberikan kepada pelanggan rumah tangga pt pln;ENERGY_ACCESS;Positif;Kebijakan diskon listrik yang menguntungkan masyarakat
30;hallooo netizen~ ada yang punya info terkait 4 menteri ini ga? paling ujungnya sawit juga;GOVERNMENT_POLICY;Negatif;Skeptisisme dan kecurigaan terhadap kebijakan pemerintah terkait sawit
31;komitmen pln selaras dengan arahan presiden ri prabowo subianto untuk mencapai swasembada energi dengan menyediakan energi hijau yang efisien dan terjangkau;ENERGY_TECHNOLOGY;Positif;Dukungan terhadap komitmen PLN untuk energi hijau dan target swasembada energi
32;capek banget sm ini konoha. mau gencar deforestasi, mana kelapa sawit disama'in kyk pohon. sekolah dimanaa sihh ya tuhan;ENVIRONMENTAL_IMPACT;Negatif;Frustasi dan kritik keras terhadap kebijakan deforestasi dan pernyataan sawit = pohon
33;transisi energi tai kucing, punya pemerintah dungu semua;ENERGY_TECHNOLOGY;Negatif;Kritik vulgar dan sangat negatif terhadap program transisi energi pemerintah
34;electrizen, hidup ini berawal dari sebuah mimpi. kita nyalakan perubahan dengan energi baru. saatnya, kita bersiap untuk menyongsong masa depan, dengan semangat keberlanjutan;ENERGY_TECHNOLOGY;Positif;Messaging inspirasional dan optimis tentang energi baru dan keberlanjutan
35;pdahal indonesia sudah darurat deforestasi 2 taun terakhir. negara rusak;ENVIRONMENTAL_IMPACT;Negatif;Keputusasaan terhadap kondisi darurat deforestasi Indonesia
36;jangan biarkan kesalahan masa lalu membatasi langkahmu. bangun dengan energi baru, tetapkan tujuan yang jelas;OTHER;Netral;Motivational quote generic, tidak spesifik ke konteks EBT/green economy
37;bahlil lahadalia akui target partai golkar di pilkada 2024 meleset: jakarta dan banten keok!;GOVERNMENT_POLICY;Netral;Mengakui kegagalan target politik partai yang dipimpin Menteri ESDM
38;prabowo sebut kebun kelapa sawit harus ditambah: tak usah takut bahayakan deforestasi;ENVIRONMENTAL_IMPACT;Negatif;Melaporkan pernyataan kontroversial yang meremehkan risiko deforestasi
39;pertamina terus berkomitmen dalam mendukung edukasi energi bersih di kalangan siswa yang dijalankan melalui program sekolah energi berdikari;ENERGY_TECHNOLOGY;Positif;Apresiasi program edukasi energi bersih untuk siswa
40;bahlil lahadalia usulkan sistem konvensi jadi opsi baru di pilkada selain lewat dprd;GOVERNMENT_POLICY;Netral;Factual report tentang usulan sistem politik, tidak ada bias jelas
41;sebenernya pengen banget komen tentang kelapa sawit dan deforestasi ini. cuma, aku hidup dari sawit juga. hipokrit banget kesannya nanti;ENVIRONMENTAL_IMPACT;Netral;Konflik internal antara concern lingkungan vs dependensi ekonomi personal
42;perusahaan otomotif asal china, byd, melaporkan lonjakan penjualan kendaraan energi baru sebesar 41,26 persen secara tahunan;ENERGY_TECHNOLOGY;Positif;Berita positif tentang pertumbuhan kendaraan energi baru (EV)
43;mianhae wahai customer, saya kumpulkan dlu sisa2 energi baru open order yaaaaa;OTHER;Netral;Personal tweet tentang bisnis, konteks energi baru bukan EBT
44;pln kolaborasi dengan komunitas global dalam conference of the parties (cop) ke-29 sebagai upaya pln dukung komitmen indonesia dalam transisi energi berkelanjutan;ENERGY_TECHNOLOGY;Positif;Dukungan terhadap partisipasi PLN dalam forum internasional untuk transisi energi
45;kepala dinas esdm prov. kalteng mengikuti apel besar asn dan tekon lingkup provinsi kalimantan tengah tahun 2025;GOVERNMENT_POLICY;Netral;Laporan kegiatan administratif pemerintah daerah
46;harga bahan bakar minyak pertamax mengalami kenaikan sebagai implementasi keputusan menteri esdm;GOVERNMENT_POLICY;Negatif;Berita kenaikan harga BBM yang umumnya diterima negatif oleh masyarakat
47;pas istri tahu bakal ada deforestasi yang dilontarkan sama si ndut penjahat, ada sebersit marah dan kecewa;ENVIRONMENTAL_IMPACT;Negatif;Kemarahan dan kekecewaan terhadap rencana deforestasi
48;prabowo mengungkapkan wacana memperluas lahan kelapa sawit, hal ini dapat diartikan ada ekspansi lahan dan membuka hutan alam. wacana ini akan berdampak pada lingkungan dan deforestasi;ENVIRONMENTAL_IMPACT;Negatif;Analisis kritis terhadap dampak negatif ekspansi sawit terhadap lingkungan
49;ketua umum dpp partai golkar bahlil lahadalia mengatakan bahwa pihaknya akan mengevaluasi kinerja partai setelah kekalahan beberapa kader yang diusung dalam pilkada 2024;GOVERNMENT_POLICY;Netral;Mengakui kekalahan politik yang menunjukkan penurunan elektabilitas
50;isu jabatan presiden 3 periode yang belakangan muncul membuat ketua umum partai golkar, bahlil lahadalia menjadi geram;GOVERNMENT_POLICY;Netral;Kegeraman terhadap isu politik kontroversial
51;kata prabowo, kelapa sawit pohon juga. karena sama sama punya daun. disampaikan prabowo terkait deforestasi. fixed ni orang problematik;ENVIRONMENTAL_IMPACT;Negatif;Sarkasme dan kritik terhadap argumen simplistic tentang sawit vs hutan
52;gas bumi untuk rakyat gas bumi adalah solusi energi bersih yang terjangkau untuk rakyat indonesia;ENERGY_ACCESS;Positif;Repetitive campaign content tentang gas bumi untuk rakyat
53;punya presiden tapi pola pikirnya bloon memahami arti deforestasi saja tidak bisa;ENVIRONMENTAL_IMPACT;Negatif;Kritik keras terhadap pemahaman presiden tentang deforestasi
54;ga perlu takut deforestasi!apalah itu dampaknya what the heck?!;ENVIRONMENTAL_IMPACT;Negatif;Shock dan ketidakpercayaan terhadap pernyataan yang meremehkan deforestasi
55;nasib punya presiden sudah tua, tidak pernah kuliah, wawasan tidak update, kebijakan2nya tidak ada dasar ilmu. saat fenomena krisis iklim yang makin nyata, deforestasi segila ini tidak hanya bahaya buat indonesia, tapi dunia;ENVIRONMENTAL_IMPACT;Negatif;Kritik komprehensif terhadap kepemimpinan dalam konteks krisis iklim global
56;kelanjutan ikn kaltim di tahun 2025, tantangan anggaran yang lebih kecil hingga deforestasi masif;ENVIRONMENTAL_IMPACT;Negatif;Mengaitkan proyek IKN dengan masalah deforestasi masif
57;iya iya deforestasi tidak bahaya kok wok, yang bahaya itu ketika pemerintah diisi orang inkompoten kayak kamu dan kroni-kronimu wok;ENVIRONMENTAL_IMPACT;Negatif;Sarkasme tajam dan kritik terhadap inkompeten pemerintah soal deforestasi
58;apa pak tidak paham soal deforestasi?;ENVIRONMENTAL_IMPACT;Negatif;Pertanyaan retoris yang mengkritik pemahaman tentang deforestasi
59;electrizen, hidup ini berawal dari sebuah mimpi. kita nyalakan perubahan dengan energi baru. saatnya, kita bersiap untuk menyongsong masa depan, dengan semangat keberlanjutan;ENERGY_TECHNOLOGY;Positif;Sama dengan tweet 34, messaging inspirasional tentang energi baru
60;awal yang baru hadir dengan peluang dan impian. dengan energi yang baru, mari kita wujudkan perubahan dan jalani setiap langkah dengan semangat berkelanjutan;ENERGY_TECHNOLOGY;Positif;Optimisme dan semangat untuk perubahan dengan energi berkelanjutan
61;polusi di permasalahkan, deforestasi di sepelekan. ko aneh;ENVIRONMENTAL_IMPACT;Negatif;Kritik terhadap inkonsistensi prioritas lingkungan pemerintah
62;hiburan dengan isi orang-orang tolol, sm kyk presidennya yang bilang gpp deforestasi, selama di ganti nanam sawit;ENVIRONMENTAL_IMPACT;Negatif;Kritik keras dan merendahkan terhadap pernyataan presiden soal deforestasi
63;esdm provinsi banten sebut pemilik tambang di papango rangkasbitung bisa dipidana;GOVERNMENT_POLICY;Netral;Dukungan terhadap penegakan hukum di sektor pertambangan
64;electrizen, hidup ini berawal dari sebuah mimpi. membawa keyakinan untuk meraih sebuah tujuan. dimulai dari langkah kecil, kita nyalakan perubahan dengan energi baru;ENERGY_TECHNOLOGY;Positif;Marketing campaign PLN yang optimis tentang energi baru
65;gas bumi untuk rakyat gas bumi adalah solusi energi bersih yang terjangkau untuk rakyat indonesia;ENERGY_ACCESS;Positif;Konsisten dengan campaign gas bumi sebelumnya
66;prabowo ingin indonesia tambah lahan sawit: enggak usah takut deforestasi;ENVIRONMENTAL_IMPACT;Negatif;Melaporkan pernyataan kontroversial tentang ekspansi sawit
67;electrizen, hidup ini berawal dari sebuah mimpi energi baru keberlanjutan;ENERGY_TECHNOLOGY;Positif;Duplikasi campaign PLN yang sama
68;tingkatkan sinergitas, perhutani bersama pertamina geothermal energy karaha gelar aktivitas olahraga bersama di garut;ENERGY_TECHNOLOGY;Positif;Kolaborasi positif antara BUMN untuk pengembangan geothermal
69;4 kata lucu: enggak usah takut deforestasi;ENVIRONMENTAL_IMPACT;Negatif;Sarkasme terhadap pernyataan presiden tentang deforestasi
70;lebih cocok kementerian deforestasi;ENVIRONMENTAL_IMPACT;Negatif;Sarkasme tajam terhadap kinerja kementerian terkait lingkungan
71;ngapain pelihara alam? pentingan punya monyet harimau gajah atau ekonomi negara? better deforestasi lalu jadi kebun sawit gasih kan sama2 punya daun;ENVIRONMENTAL_IMPACT;Negatif;Sarkasme ekstrem yang mengkritik prioritas ekonomi vs lingkungan
72;jangan takut deforestasi, sawit kan juga sama-sama pohon;ENVIRONMENTAL_IMPACT;Negatif;Sarkasme dengan emoji sedih terhadap argumen sawit = pohon
73;konsumsi spklu naik 500%, makin banyak warga gunakan kendaraan listrik luar kota;ENERGY_TECHNOLOGY;Positif;Berita positif tentang adopsi kendaraan listrik dan infrastruktur charging
74;ketua umum golkar bahlil lahadalia secara tegas mengubah tagline partainya, dari yang sebelummya suara golkar-suara rakyat menjadi suara rakyat-suara golkar;GOVERNMENT_POLICY;Netral;Berita factual tentang perubahan strategi politik
75;sudah mantan presidenya finalis koruptor, presiden legalin deforestasi, wapresnya sales susu, menterinya ke sana ke mari. tidak ketolong ini mah;GOVERNMENT_POLICY;Negatif;Kritik komprehensif terhadap kualitas kepemimpinan nasional
76;kemenhut ada di bawah koordinasi langsung kemeko pangan. presidennya terang-terangan mendukung deforestasi. adios hutan indonesia;ENVIRONMENTAL_IMPACT;Negatif;Analisis pesimis tentang masa depan hutan Indonesia
77;interpretasi sumur log untuk menentukan zona prospek hidrokarbon pada cekungan akimeugah, papua;ENERGY_TECHNOLOGY;Netral;Konten akademik/teknis tentang eksplorasi migas
78;pidato prabowo soal tak perlu takut deforestasi demi tambah lahan sawit tuai kritik hutan akan terancam dan ruang hidup masyarakat menyempit;ENVIRONMENTAL_IMPACT;Negatif;Laporan kritis tentang dampak negatif pernyataan deforestasi
79;boleh ke kalau rumah town house strata nk pasang solar panel?;ENERGY_TECHNOLOGY;Netral;Pertanyaan teknis tentang instalasi solar panel
80;selain deforestasi tropical rain forest, sawit jg berperan dalam konversi lahan gambut & mangrove. 30% carbon stock dunia ada di peatland;ENVIRONMENTAL_IMPACT;Negatif;Analisis ilmiah tentang dampak komprehensif sawit terhadap ekosistem
81;energi terbarukan populer, harga batu bara mulai menyusut;ENERGY_TECHNOLOGY;Positif;Tren positif transisi dari fossil fuel ke renewable energy
82;gas bumi untuk rakyat gas bumi adalah solusi energi bersih yang terjangkau untuk rakyat indonesia;ENERGY_ACCESS;Positif;Konsisten dengan campaign sebelumnya
83;yang satu tidak paham arti kata korup. penerusnya tidak paham arti kata deforestasi. duet maut memang. maut bagi negara;GOVERNMENT_POLICY;Negatif;Kritik tajam terhadap kontinuitas kepemimpinan yang bermasalah
84;deforestasi besar-besaran bakal dilakukan pemerintah, seluas 20 juta hektare hutan bakal ditumpas. yuhuuu otw indonesia hancur lebur!;ENVIRONMENTAL_IMPACT;Negatif;Alarm dan kepanikan terhadap skala deforestasi yang direncanakan
85;hai hai selamat tahun baru guys! semoga energi baru dan rezeki baru yaaa buat kita;OTHER;Netral;Personal new year greeting, konteks energi baru bukan EBT
86;gaes sorry banget baru umumin ini. selamat tahun baru ya guys! semoga tahun baru energi baru rezeki baru;OTHER;Netral;Personal announcement, energi baru dalam konteks personal
87;gas bumi untuk rakyat gas bumi adalah solusi energi bersih yang terjangkau untuk rakyat indonesia;ENERGY_ACCESS;Positif;Replikasi campaign yang sama
88;ipo hgii: investasi hijau, masa depan cerah! plta, pltm, & target dana rp299 m!;ENERGY_TECHNOLOGY;Positif;Optimisme terhadap investasi energi hijau dan IPO sektor renewable
89;pemerintah bangun pembangkit listrik tenaga surya di desa terpencil. akses energi hijau kini nyata untuk semua!;ENERGY_ACCESS;Positif;Apresiasi program akses energi hijau untuk daerah terpencil
90;electrizen, hidup ini berawal dari sebuah mimpi energi baru keberlanjutan;ENERGY_TECHNOLOGY;Positif;Replikasi campaign PLN
91;plts mendominasi kapasitas baru untuk penyebaran energi terbarukan karena sumber dayanya yang melimpah dan biaya modal yang paling rendah;ENERGY_TECHNOLOGY;Positif;Analisis positif tentang dominasi dan keunggulan solar energy
92;segitu banyak ahli lingkungan dan energi terbarukan yang lu sekolahin lewat platform beasiswa terbesar lu, ahli2 kehutanan juga. kenapa pidatonya masih begini? malu banget jujur;GOVERNMENT_POLICY;Negatif;Kekecewaan terhadap inkonsistensi antara investasi pendidikan vs kebijakan
93;potensi pengembangan energi baru terbarukan (ebt) di indonesia sangat besar meskipun saat ini kebutuhan energi nasional masih didominasi oleh bahan bakar fosil;ENERGY_TECHNOLOGY;Positif;Optimisme terhadap potensi EBT Indonesia
94;padahal di essay gue saja gue tulis contoh deforestasi paling banyak di indo itu pengalihan hutan jadi kebun sawit, ini malah dibilang bukan deforestasi;ENVIRONMENTAL_IMPACT;Negatif;Frustrasi personal akademik yang expertise-nya diabaikan pemerintah
95;gas bumi untuk rakyat gas bumi adalah solusi energi bersih yang terjangkau untuk rakyat indonesia;ENERGY_ACCESS;Positif;Konsisten dengan campaign
96;ubah sinar matahari jadi energi masa depan! electrizen, saatnya melangkah menuju gaya hidup modern dan ramah lingkungan dengan menggunakan pv rooftop;ENERGY_TECHNOLOGY;Positif;Promosi entusias solar rooftop sebagai solusi energi masa depan
97;pertanda buruk bahwa pemimpin kita tidak benar-benar melihat dampak krisis iklim, mulai dari sawit yang dianggap bukan deforestasi;ENVIRONMENTAL_IMPACT;Negatif;Keprihatinan terhadap denial kepemimpinan tentang krisis iklim
98;pidato prabowo yang menyatakan tak perlu takut deforestasi untuk menambah lahan sawit menuai kritik. aktivis lingkungan khawatir cara pandang itu akan menghasilkan kebijakan yang semakin mengancam hutan;ENVIRONMENTAL_IMPACT;Negatif;Laporan komprehensif tentang kritik aktivis terhadap kebijakan deforestasi
99;bukan hanya sawit saja deforestasi tapi batu bara, timah, geothermal, manufaktur, perumahan. miris makin banyak orang kelaparan dan kehilangan mata pencaharian;ENVIRONMENTAL_IMPACT;Negatif;Analisis komprehensif tentang multiple drivers deforestasi dan dampak sosialnya
100;tiwas! 20 juta hektar hutan mau dibabat dijadikan lahan sawit! kementerian kehutanan sebagai wasit hutannya mau digunduli koq diam saja? 😭 auahelap;ENVIRONMENTAL_IMPACT;Negatif;Mengekspresikan shock terhadap rencana deforestasi 20 juta hektar dan mengkritik kementerian kehutanan
101;ya allah wo yakali nambah sawit lagi, dan tidak mungkin tanpa deforestasi sih 😭. tingkatin produktivitas ladang sawit yang sdh ada, lakukan penelitian pengembangan pertanian or whatever. kalau masih ttp dilakukan, siap2 kekeringan di mana mana 👍🏻;ENVIRONMENTAL_IMPACT;Negatif;Mengkritik ekspansi sawit dan memprediksi dampak kekeringan, mengusulkan intensifikasi sebagai alternatif
102;di atas waduk cirata, plts ini seluas 200 hektar dan mampu hasilkan energi bersih yang cukup untuk menerangi sekitar 50.000 rumah, lho! inovasi besar ini manfaatkan sinar matahari dan jadi langkah nyata menuju indonesia yang lebih hijau. pln plnuntukindonesia energiterbarukan;ENERGY_TECHNOLOGY;Positif;Mengapresiasi PLTS Cirata sebagai inovasi energi terbarukan yang signifikan
103;menambah tanam kelapa sawit sama artinya dengan deforestasi, kemudian deforestasi juga erat kaitannya akan peningkatan emisi karbon yang berdampak pada meningkatnya efek gas rumah kaca pada atmosfer. ini hanya 2 rangkaian kejadian saja sih yang aku sebutin, gimana sisanya? 😪;ENVIRONMENTAL_IMPACT;Negatif;Menjelaskan hubungan kausal antara sawit, deforestasi, dan perubahan iklim dengan nada khawatir
104;di jepang, mobil listrik bernama puzzle yang dapat diisi dayanya dengan panel surya direncanakan akan diluncurkan pada tahun 2025. cocok untuk membantu saat terjadi bencana alam.;ENERGY_TECHNOLOGY;Positif;Melaporkan inovasi mobil listrik bertenaga surya dari Jepang secara positif
105;cek 【ready stock】anbolt 5v12w portabel panel surya panel pembangkit listrik fotovoltaik tahan air luar ruangan pengisian cepat dengan 5 kepala pengisi daya dengan harga rp195.000. dapatkan di shopee sekarang!;ENERGY_TECHNOLOGY;Positif;Promosi produk panel surya portable
106;garansi 10 tahun lampu tenaga surya 【hot sale】 lampu solar panel lampu sorot solar cell lampu outdoor lampu sorot solar cell super terang 600w 800w 1103 led sorot surya lampu jalan 0 biaya listrik sepanjang tahun kontrol cahaya cerdas tahan air ip67;ENERGY_TECHNOLOGY;Positif;Promosi lampu tenaga surya dengan spesifikasi lengkap
107;kementerian pertanian selayaknya makin gencar kampanye pangan lokal biar untuk memberikan alternatif pangan selain beras, kementerian energi selayaknya kasih kampanye energi baru terbarukan, mendorong penggunaan solar cell misalnya;ENERGY_TECHNOLOGY;Positif;Mengusulkan kampanye energi terbarukan termasuk solar cell
108;besar harapan yang menyuarakan dapat memberi contoh, semoga nanti mba-nya bisa kasih contoh efektifitas penggunaan panel surya di rumah sudah hitung2an biaya instalasi dan biaya maintenancenya 🫶;ENERGY_TECHNOLOGY;Positif;Berharap mendapat contoh praktis penggunaan panel surya di rumah
109;samalengoh enakeun jang niis, camp. view sumedang na dapet oge hanjakal can aya listrik, lampu didieu ge make panel surya lgsg jadi mun beak batre hape jg powerbank kudu kanu mobil, nya wayah kieu ):;ENERGY_TECHNOLOGY;Netral;Menceritakan pengalaman menggunakan panel surya saat camping dalam bahasa Sunda
110;di nl,saya selalu goreng dg minyak biji bunga matahari.tidak pernah pake minyak kelapa.sejak climate change,pemerintah menghimbau produsen untuk tdk memakai minyak kelapa sbg campuran mentega atau margarine.jadi blh diblg,produk yang saya pake dilondo ini bebas palm oil.;ENVIRONMENTAL_IMPACT;Positif;Menceritakan pengalaman menghindari minyak kelapa sawit di Belanda karena climate change
111;"bangga banget punya presiden tidak ngerti.. tidak faham.. tidak mudeng... teu nyaho "" deforestasi """;ENVIRONMENTAL_IMPACT;Negatif;Mengekspresikan kekecewaan dengan sarkasme terhadap kurangnya pemahaman presiden tentang deforestasi
112;starting 2025 dengan jatah preman ppn 12% yang tbtb muncul buat deforestasi dan nambah lahan sawit.;ENVIRONMENTAL_IMPACT;Negatif;Mengkritik kebijakan 2025 yang menghubungkan PPN dengan deforestasi
113;tidak bisa pak... 1.) proses deforestasi hutan untuk penanaman kelapa sawit itu rentan bikin kebakaran hutan ➡️ emisi co2 naik 2.) monokultur (penanaman hanya 1 jenis tumbuhan) sawit itu ngancam keanekaragaman hayati & banyak spesies polinator yang tidak bisa survive ➡️ pangan terancam;ENVIRONMENTAL_IMPACT;Negatif;Memberikan penjelasan teknis terstruktur tentang dampak negatif deforestasi untuk sawit
114;segampang itu bilang tidak bakalan deforestasi 😮‍💨 iya pohon sawit itu pohon ada daunnya. akan tetapi apa yang disebut dari deforestasi lebih dari sekedar tidak adanya tumbuhan.;ENVIRONMENTAL_IMPACT;Negatif;Mengkritik penyederhanaan definisi deforestasi dan menjelaskan kompleksitasnya
115;31 desember pusingin ppn naik, 1 januari batal, diganti dengan kepusingan deforestasi seukuran 2x lipat pulau jawa. negara di garis khatulistiwa gapunya pohon, disaat dunia lagi ketar ketir sama global warming...;ENVIRONMENTAL_IMPACT;Negatif;Mengkritik prioritas kebijakan dan skala deforestasi yang direncanakan
116;tolak deforestasi, tolak pembukaan lahan hutan yang berlebih untuk kepentingan ekonomi🤗🫶🏻;ENVIRONMENTAL_IMPACT;Negatif;Seruan menolak deforestasi untuk kepentingan ekonomi
117;ril dari 2018 juga sudah banyak prediksi soal climate change, tapi orang atas ini malah sibuk mikirin gimana cara hancurin negara sendiri;ENVIRONMENTAL_IMPACT;Negatif;Mengkritik ketidakpedulian pemimpin terhadap prediksi climate change
118;dari gonjang-ganjing persawitan dan deforestasi, agaknya harus lanjutin baca lagi buku hidup bersama raksasa yang diterbitkan [user] nih. kado awal tahun dari presiden kita yang menghasilkan sesat pikir bagi masyarakat😔;ENVIRONMENTAL_IMPACT;Negatif;Mengkritik dampak pernyataan presiden yang menyesatkan masyarakat
119;kementerian energi dan sumber daya mineral (esdm) menetapkan kebijakan pemberian diskon 50% tarif listrik untuk pelanggan rumah tangga dengan daya 450 va, 900 va, 1.300 va, dan 2.200 va. keputusan ini resmi diumumkan pada 31 desember —baca selengkapnya di;ENERGY_ACCESS;Netral;Melaporkan kebijakan positif diskon tarif listrik dari ESDM
120;selamat tahun baru 2025, sobat nusantara🌟 tahun baru, semangat baru! bersama pln nusantara power, kami hadir dengan energi baru, energi terbarukan, dan energi positif untuk menggerakkan indonesia menuju masa depan yang lebih cerah, hijau, dan berkelanjutan. mari jadikan tahun;ENERGY_TECHNOLOGY;Positif;Ucapan tahun baru dengan komitmen energi terbarukan dari PLN
121;pertama kalinya gw marah-marah di 2nd ig ke temen2 yang 02 voters tidak ngerti lagi. gw tidak paham kok bisa-bisanya berusaha negur ttg dampak ekologi yang ditimbulkan dari ucapan cacat pemimpin rezim ini terkait deforestasi ke para lulusan biologi 02 voters.;ENVIRONMENTAL_IMPACT;Negatif;Mengekspresikan frustrasi terhadap pendukung yang mengabaikan dampak ekologi deforestasi
122;ini indonesia saja 2 tahun terakhir sudah darurat deforestasi, sedangkan luas hutan di indonesia kurang lebih 105 - 125 juta hektare, ini makin ada ada saja mau dibabat lagi 20 juta hektare. 1,9 juta saja sudah berasa banget berdampak ke ekologis, ekonomi, sama sosial di daerah yang -;ENVIRONMENTAL_IMPACT;Negatif;Menyajikan data tentang kondisi darurat deforestasi Indonesia dan dampaknya
123;ketua umum golkar bahlil lahadalia akan mengkaji terkait pilkada secara tidak langsung;GOVERNMENT_POLICY;Netral;Melaporkan rencana kajian pilkada oleh Ketum Golkar secara faktual
124;alhamdulillah sudah sampe kosan dg selamat memulai 2025 dg semangat baru dan energi baru;OTHER;Positif;Status personal tentang tahun baru dengan semangat energi baru
